NAME,S1903_C03_001E,state,place
"Auburn city, Alabama",54839,01,03076
"Birmingham city, Alabama",39326,01,07000
"Dothan city, Alabama",53929,01,21184
"Hoover city, Alabama",103194,01,35896
"Huntsville city, Alabama",68930,01,37000
"Mobile city, Alabama",50051,01,50000
"Montgomery city, Alabama",55108,01,51000
"Tuscaloosa city, Alabama",49005,01,77256
"Anchorage municipality, Alaska",100751,02,03000
"Avondale city, Arizona",66801,04,04720
"Buckeye city, Arizona",95235,04,07940
"Casas Adobes CDP, Arizona",75650,04,10670
"Chandler city, Arizona",98664,04,12000
"Flagstaff city, Arizona",63612,04,23620
"Gilbert town, Arizona",111393,04,27400
"Glendale city, Arizona",72411,04,27820
"Goodyear city, Arizona",96522,04,28380
"Maricopa city, Arizona",90985,04,44410
"Mesa city, Arizona",79496,04,46000
"Peoria city, Arizona",86948,04,54050
"Phoenix city, Arizona",75969,04,55000
"Queen Creek town, Arizona",129605,04,58150
"San Tan Valley CDP, Arizona",89081,04,64210
"Scottsdale city, Arizona",100636,04,65000
"Surprise city, Arizona",96912,04,71510
"Tempe city, Arizona",76007,04,73000
"Tucson city, Arizona",51281,04,77000
"Yuma city, Arizona",58043,04,85540
"Conway city, Arkansas",61898,05,15190
"Fayetteville city, Arkansas",52991,05,23290
"Fort Smith city, Arkansas",47669,05,24550
"Jonesboro city, Arkansas",61057,05,35710
"Little Rock city, Arkansas",55065,05,41000
"Rogers city, Arkansas",81770,05,60410
"Springdale city, Arkansas",59027,05,66080
"Alameda city, California",131116,06,00562
"Alhambra city, California",72406,06,00884
"Anaheim city, California",85133,06,02000
"Antioch city, California",100178,06,02252
"Apple Valley town, California",56187,06,02364
"Arden-Arcade CDP, California",71457,06,02553
"Bakersfield city, California",72017,06,03526
"Baldwin Park city, California",70418,06,03666
"Bellflower city, California",74131,06,04982
"Berkeley city, California",94846,06,06000
"Brentwood city, California",132610,06,08142
"Buena Park city, California",102840,06,08786
"Burbank city, California",92581,06,08954
"Camarillo city, California",100594,06,10046
"Carlsbad city, California",146596,06,11194
"Carmichael CDP, California",81823,06,11390
"Carson city, California",98862,06,11530
"Castro Valley CDP, California",133285,06,11964
"Chico city, California",65021,06,13014
"Chino city, California",95721,06,13210
"Chino Hills city, California",105978,06,13214
"Chula Vista city, California",101190,06,13392
"Citrus Heights city, California",73923,06,13588
"Clovis city, California",100399,06,14218
"Compton city, California",68355,06,15044
"Concord city, California",104523,06,16000
"Corona city, California",99953,06,16350
"Costa Mesa city, California",103891,06,16532
"Daly City city, California",109227,06,17918
"Davis city, California",67373,06,18100
"Downey city, California",85089,06,19766
"Dublin city, California",186892,06,20018
"East Los Angeles CDP, California",64156,06,20802
"Eastvale city, California",144364,06,21230
"El Cajon city, California",66045,06,21712
"Elk Grove city, California",106572,06,22020
"El Monte city, California",59368,06,22230
"Escondido city, California",87664,06,22804
"Fairfield city, California",97467,06,23182
"Folsom city, California",129045,06,24638
"Fontana city, California",93581,06,24680
"Fremont city, California",162336,06,26000
"Fresno city, California",64196,06,27000
"Fullerton city, California",97004,06,28000
"Garden Grove city, California",86975,06,29000
"Glendale city, California",77483,06,30000
"Hawthorne city, California",73515,06,32548
"Hayward city, California",101199,06,33000
"Hemet city, California",54156,06,33182
"Hesperia city, California",73821,06,33434
"Huntington Beach city, California",111122,06,36000
"Indio city, California",79372,06,36448
"Inglewood city, California",62601,06,36546
