City,State,Lat,Lon,Category_Label,Location_Name,Income
Phoenix,Arizona,33.4484367,-112.074141,High,Healthy Habit,75969
Scottsdale,Arizona,33.4942189,-111.926018,High,Lady+Wolf Market,100636
Scottsdale,Arizona,33.4942189,-111.926018,High,nohoshot,100636
Tempe,Arizona,33.4255117,-111.9400164,High,Lady+Wolf Market,76007
Alameda,California,37.7664611,-122.24349585403432,High,Family First,131116
Alameda,California,37.7664611,-122.24349585403432,High,Wellness,131116
Alameda,California,37.7664611,-122.24349585403432,High,Anrol International,131116
Alameda,California,37.7664611,-122.24349585403432,High,Layonna Vegetarian Health Food Market,131116
Anaheim,California,33.803204,-117.88568940769623,High,Ivy's Bridge To Better Health,85133
Berkeley,California,37.866185900000005,-122.28527282333675,High,Lhasa Karnak,94846
Berkeley,California,37.866185900000005,-122.28527282333675,High,Anrol International,94846
Berkeley,California,37.866185900000005,-122.28527282333675,High,Layonna Vegetarian Health Food Market,94846
Berkeley,California,37.866185900000005,-122.28527282333675,High,Wellness,94846
Berkeley,California,37.866185900000005,-122.28527282333675,High,Family First,94846
Brentwood,California,34.0521403,-118.4740699,High,Citizen Sprout,132610
Burbank,California,34.1867044,-118.2828995,High,Mother's Dose,92581
Camarillo,California,34.2228071,-119.0516609,High,Lassen's Health Foods,100594
Carlsbad,California,33.1647597,-117.3403158,High,Cream of the Crop,146596
Carmichael,California,38.635793,-121.323379,High,Private Label Supplement,81823
Chino,California,34.029319349999994,-117.6863349912724,High,Highlander Natural Foods,95721
Daly,California,37.6904826,-122.47267,High,Pressed Juicery,109227
Daly,California,37.6904826,-122.47267,High,Urban Remedy,109227
Dublin,California,37.7041487,-121.9175203,High,Vitality Bowls San Ramon,186892
Fullerton,California,33.87078295,-117.929420004034,High,Protein Lab at The Source,97004
Glendale,California,34.1538013,-118.2550389,High,Mother's Dose,77483
Irvine,California,33.6705849,-117.7324939,High,A Better Day,123003
Lakewood,California,33.846539,-118.112278,High,Generations Church,109309
Lakewood,California,33.846539,-118.112278,High,Holistic Health,109309
Lancaster,California,34.69893735,-118.14539514250148,High,Bee Honey,79113
Manteca,California,37.80156785,-121.23564403206112,High,Vitality Bowls,83380
Milpitas,California,37.4235297,-121.9253759,High,Omnilife,169818
