,Cities,States,Lat,Lon,High Income
0,Hoover,Alabama,33.3871973,-86.80567999300487,103194
1,Anchorage municipality,Alaska,61.2163129,-149.894852,100751
2,Buckeye,Arizona,33.3703197,-112.583776,95235
3,Casas Adobes,Arizona,32.340932,-111.010201,75650
4,Chandler,Arizona,33.3062031,-111.8411851,98664
5,Gilbert,Arizona,33.3527632,-111.789037,111393
6,Goodyear,Arizona,33.4073522,-112.3934809,96522
7,Maricopa,Arizona,33.032167,-111.966842,90985
8,Mesa,Arizona,33.4151005,-111.831455,79496
9,Peoria,Arizona,33.5806115,-112.237294,86948
10,Phoenix,Arizona,33.4484367,-112.074141,75969
11,Queen Creek,Arizona,33.2669244,-111.64431265627806,129605
12,San Tan Valley,Arizona,33.177898,-111.543353,89081
13,Scottsdale,Arizona,33.4942189,-111.926018,100636
14,Surprise,Arizona,33.629247,-112.3681428,96912
15,Tempe,Arizona,33.4255117,-111.9400164,76007
16,Rogers,Arkansas,36.3347994,-94.1193531,81770
17,Alameda,California,37.7664611,-122.24349585403432,131116
18,Anaheim,California,33.803204,-117.88568940769623,85133
19,Antioch,California,38.01631,-121.815234,100178
20,Berkeley,California,37.866185900000005,-122.28527282333675,94846
21,Brentwood,California,34.0521403,-118.4740699,132610
22,Buena Park,California,34.1387383,-118.3886401,102840
23,Burbank,California,34.1867044,-118.2828995,92581
24,Camarillo,California,34.2228071,-119.0516609,100594
25,Carlsbad,California,33.1647597,-117.3403158,146596
26,Carmichael,California,38.635793,-121.323379,81823
27,Carson,California,43.176977,-84.846395,98862
28,Castro Valley,California,37.70371,-122.074774,133285
29,Chino,California,34.029319349999994,-117.6863349912724,95721
30,Chino Hills,California,36.9883505,-121.974559,105978
31,Chula Vista,California,38.112579,-122.241252,101190
32,Clovis,California,36.82016225,-119.63923814810065,100399
33,Concord,California,37.979147,-122.007725,104523
34,Corona,California,33.85796995,-117.55390420153932,99953
35,Costa Mesa,California,37.415706,-118.542393,103891
36,Daly,California,37.6904826,-122.47267,109227
37,Downey,California,33.9397381,-118.12893316717091,85089
38,Dublin,California,37.7041487,-121.9175203,186892
39,Eastvale,California,33.976061900000005,-117.55253213041188,144364
40,Elk Grove,California,33.748864,-116.984832,106572
41,Escondido,California,33.12441,-117.083793,87664
42,Fairfield,California,38.273076,-122.041473,97467
43,Folsom,California,38.676774,-121.152638,129045
44,Fontana,California,34.1022332,-117.4353257,93581
45,Fremont,California,37.51377,-121.944821,162336
46,Fullerton,California,33.87078295,-117.929420004034,97004
47,Garden Grove,California,34.2052822,-118.5292518,86975
48,Glendale,California,34.1538013,-118.2550389,77483
49,Hayward,California,37.67089945,-122.0857705598822,101199
50,Huntington Beach,California,33.67703,-116.196782,111122
51,Indio,California,33.745657050000005,-116.2150292,79372
52,Irvine,California,33.6705849,-117.7324939,123003
53,Jurupa Valley,California,33.97508225,-117.47828243869208,92883
54,Lake Elsinore,California,38.62029,-92.567502,91479
55,Lake Forest,California,39.1525796,-120.1460738,128033
56,Lakewood,California,33.846539,-118.112278,109309
57,Lancaster,California,34.69893735,-118.14539514250148,79113
58,Livermore,California,37.67523795,-121.755954866449,145919
59,Lodi,California,38.1345842,-121.27598907762918,88440
60,Long Beach,California,33.913956,-116.482107,80493
61,Los Angeles,California,34.24639,-116.832905,76135
62,Manteca,California,37.80156785,-121.23564403206112,83380
63,Menifee,California,33.71284085,-117.19174222799816,86206
64,Milpitas,California,37.4235297,-121.9253759,169818
65,Mission Viejo,California,34.131786,-116.079212,126469
66,Moreno Valley,California,32.697978,-115.484798,86909
67,Mountain View,California,37.6981086,-122.4558458,165448
68,Murrieta,California,33.560037699999995,-117.2104220130407,106709
69,Napa,California,38.30898305,-122.28760217730382,94248
70,Newport Beach,California,33.676312,-116.19429,127353
71,Norwalk,California,33.9155697,-118.0720107,94851
72,Oakland,California,37.8034958,-122.271692,93146
73,Oceanside,California,33.1953141,-117.3853169,83271
74,Ontario,California,34.06550645,-117.64817965,79129
75,Orange,California,28.9488761,-81.2986741,105572
76,Oxnard,California,34.195054,-119.180285,84941
77,Palmdale,California,34.5791566,-118.1161835,90330
78,Palo Alto,California,37.904037,-122.527867,179707
79,Pasadena,California,34.163831,-118.15674553889411,95134
80,Perris,California,33.7875193,-117.2278144,80234
81,Pittsburg,California,38.01995264999999,-121.891591113019,88842
82,Pleasanton,California,37.669437,-121.885889,183969
83,Pomona,California,34.0546164,-117.7511326,77609
84,Rancho Cordova,California,35.158973,-115.173552,82178
85,Rancho Cucamonga,California,34.102291300000005,-117.54795804853929,108345
86,Redlands,California,34.0653727,-117.20921518389368,92787
87,Redondo Beach,California,33.686949,-116.190992,140786
88,Redwood,California,37.4863239,-122.232523,137512
89,Rialto,California,34.07869555,-117.36810710058388,85585
90,Richmond,California,6.0562552,80.2214601,88594
91,Riverside,California,33.949274,-117.36368,81228
92,Rocklin,California,38.8093779,-121.21381736752176,119436
93,Roseville,California,38.74833965,-121.28393826953815,100739
94,Sacramento,California,38.5409665,-121.4884709227681,80254
95,Salinas,California,34.23255445,-118.62719904185332,80560
96,San Buenaventura (Ventura),California,34.2783355,-119.293174,100073
97,San Diego,California,32.8636997,-117.211625,100010
98,San Francisco,California,37.7987456,-122.46458892410745,136692
99,San Jose,California,34.825117,-114.598742,133835
100,San Leandro,California,37.7299769,-122.469346,92651
101,San Marcos,California,34.825117,-114.598742,103595
102,San Mateo,California,37.7082421,-122.4590837,159275
103,San Ramon,California,38.1225006,-122.6041442,192291
104,Santa Ana,California,34.830556,-114.610411,79351
105,Santa Barbara,California,37.5918371,-122.0679182,104001
106,Santa Clara,California,37.356651,-121.961118,158614
107,Santa Clarita,California,34.4126598,-118.5537781159743,111236
108,Santa Maria,California,37.299443,-121.957248,81447
109,Santa Monica,California,34.0277713,-118.4527348,110030
110,Santa Rosa,California,35.134635,-117.980756,95403
111,Simi Valley,California,33.857356,-117.963082,113992
112,Stockton,California,37.945186,-121.284615,76231
113,Sunnyvale,California,37.428385,-122.02527581691044,169781
114,Temecula,California,33.50315,-117.124007,113168
115,Thousand Oaks,California,35.121707,-120.592513,124811
116,Torrance,California,33.832402,-118.341001,108406
117,Tracy,California,37.7385335,-121.4199815,113083
118,Turlock,California,34.269162800000004,-118.60374460462378,76031
119,Tustin,California,33.7432966,-117.819484,104427
120,Union,California,34.529078,-117.298461,148460
