NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,commercial.weapons Count,activity.sport_club Count,commercial.smoking Count,commercial.food_and_drink.health_food Count
"Gilbert town, Arizona",111393,4,27400,Gilbert town,Arizona,"Gilbert town, Arizona",33.3527632,-111.789037,17.0,7.0,19.0,0.0
"Queen Creek town, Arizona",129605,4,58150,Queen Creek town,Arizona,"Queen Creek town, Arizona",33.2669244,-111.64431265627806,1.0,1.0,0.0,0.0
"Alameda city, California",131116,6,562,Alameda city,California,"Alameda city, California",37.7664611,-122.24349585403432,0.0,5.0,10.0,4.0
"Brentwood city, California",132610,6,8142,Brentwood city,California,"Brentwood city, California",34.0521403,-118.4740699,0.0,4.0,40.0,1.0
"Carlsbad city, California",146596,6,11194,Carlsbad city,California,"Carlsbad city, California",33.1647597,-117.3403158,0.0,1.0,1.0,1.0
"Castro Valley CDP, California",133285,6,11964,Castro Valley CDP,California,"Castro Valley CDP, California",37.70371,-122.074774,0.0,0.0,1.0,0.0
"Daly City city, California",109227,6,17918,Daly City city,California,"Daly City city, California",37.6904826,-122.47267,0.0,2.0,11.0,0.0
"Dublin city, California",186892,6,20018,Dublin city,California,"Dublin city, California",37.7041487,-121.9175203,0.0,0.0,3.0,0.0
"Eastvale city, California",144364,6,21230,Eastvale city,California,"Eastvale city, California",33.976061900000005,-117.55253213041188,0.0,0.0,1.0,0.0
"Elk Grove city, California",106572,6,22020,Elk Grove city,California,"Elk Grove city, California",33.748864,-116.984832,0.0,0.0,0.0,0.0
"Folsom city, California",129045,6,24638,Folsom city,California,"Folsom city, California",38.676774,-121.152638,0.0,0.0,0.0,0.0
"Fremont city, California",162336,6,26000,Fremont city,California,"Fremont city, California",37.51377,-121.944821,0.0,0.0,1.0,0.0
"Huntington Beach city, California",111122,6,36000,Huntington Beach city,California,"Huntington Beach city, California",33.67703,-116.196782,0.0,0.0,0.0,0.0
"Irvine city, California",123003,6,36770,Irvine city,California,"Irvine city, California",33.6705849,-117.7324939,0.0,0.0,4.0,1.0
"Lake Forest city, California",128033,6,39496,Lake Forest city,California,"Lake Forest city, California",39.1525796,-120.1460738,0.0,0.0,0.0,0.0
"Lakewood city, California",109309,6,39892,Lakewood city,California,"Lakewood city, California",33.846539,-118.112278,1.0,2.0,8.0,2.0
"Livermore city, California",145919,6,41992,Livermore city,California,"Livermore city, California",37.67523795,-121.755954866449,0.0,0.0,4.0,0.0
"Milpitas city, California",169818,6,47766,Milpitas city,California,"Milpitas city, California",37.4235297,-121.9253759,0.0,2.0,4.0,0.0
"Mission Viejo city, California",126469,6,48256,Mission Viejo city,California,"Mission Viejo city, California",34.131786,-116.079212,0.0,0.0,0.0,0.0
"Mountain View city, California",165448,6,49670,Mountain View city,California,"Mountain View city, California",37.6981086,-122.4558458,0.0,2.0,16.0,2.0
"Murrieta city, California",106709,6,50076,Murrieta city,California,"Murrieta city, California",33.560037699999995,-117.2104220130407,1.0,0.0,6.0,0.0
"Newport Beach city, California",127353,6,51182,Newport Beach city,California,"Newport Beach city, California",33.676312,-116.19429,0.0,0.0,0.0,0.0
"Palo Alto city, California",179707,6,55282,Palo Alto city,California,"Palo Alto city, California",37.904037,-122.527867,0.0,0.0,1.0,0.0
"Pleasanton city, California",183969,6,57792,Pleasanton city,California,"Pleasanton city, California",37.669437,-121.885889,0.0,0.0,2.0,0.0
"Rancho Cucamonga city, California",108345,6,59451,Rancho Cucamonga city,California,"Rancho Cucamonga city, California",34.102291300000005,-117.54795804853929,0.0,0.0,2.0,0.0
"Redondo Beach city, California",140786,6,60018,Redondo Beach city,California,"Redondo Beach city, California",33.686949,-116.190992,0.0,0.0,0.0,0.0
"Redwood City city, California",137512,6,60102,Redwood City city,California,"Redwood City city, California",37.4863239,-122.232523,0.0,1.0,6.0,0.0
"Rocklin city, California",119436,6,62364,Rocklin city,California,"Rocklin city, California",38.8093779,-121.21381736752176,1.0,0.0,1.0,0.0
"San Francisco city, California",136692,6,67000,San Francisco city,California,"San Francisco city, California",37.7987456,-122.46458892410745,0.0,5.0,72.0,3.0
"San Jose city, California",133835,6,68000,San Jose city,California,"San Jose city, California",34.825117,-114.598742,0.0,0.0,1.0,0.0
"San Mateo city, California",159275,6,68252,San Mateo city,California,"San Mateo city, California",37.7082421,-122.4590837,0.0,2.0,24.0,2.0
"San Ramon city, California",192291,6,68378,San Ramon city,California,"San Ramon city, California",38.1225006,-122.6041442,0.0,0.0,1.0,0.0
"Santa Clara city, California",158614,6,69084,Santa Clara city,California,"Santa Clara city, California",37.356651,-121.961118,3.0,0.0,11.0,2.0
"Santa Clarita city, California",111236,6,69088,Santa Clarita city,California,"Santa Clarita city, California",34.4126598,-118.5537781159743,0.0,0.0,0.0,0.0
"Santa Monica city, California",110030,6,70000,Santa Monica city,California,"Santa Monica city, California",34.0277713,-118.4527348,3.0,5.0,51.0,1.0
"Simi Valley city, California",113992,6,72016,Simi Valley city,California,"Simi Valley city, California",33.857356,-117.963082,0.0,0.0,5.0,1.0
"Sunnyvale city, California",169781,6,77000,Sunnyvale city,California,"Sunnyvale city, California",37.428385,-122.02527581691044,2.0,2.0,1.0,0.0
"Temecula city, California",113168,6,78120,Temecula city,California,"Temecula city, California",33.50315,-117.124007,0.0,0.0,3.0,0.0
"Thousand Oaks city, California",124811,6,78582,Thousand Oaks city,California,"Thousand Oaks city, California",35.121707,-120.592513,0.0,0.0,0.0,0.0
"Torrance city, California",108406,6,80000,Torrance city,California,"Torrance city, California",33.832402,-118.341001,1.0,2.0,18.0,0.0
"Tracy city, California",113083,6,80238,Tracy city,California,"Tracy city, California",37.7385335,-121.4199815,0.0,0.0,1.0,0.0
"Union City city, California",148460,6,81204,Union City city,California,"Union City city, California",34.529078,-117.298461,0.0,1.0,1.0,0.0
"Yorba Linda city, California",151534,6,86832,Yorba Linda city,California,"Yorba Linda city, California",39.126561,-121.538446,0.0,0.0,1.0,0.0
"Arvada city, Colorado",110100,8,3455,Arvada city,Colorado,"Arvada city, Colorado",39.8027778,-105.0880556,0.0,0.0,15.0,0.0
"Broomfield city, Colorado",115833,8,9280,Broomfield city,Colorado,"Broomfield city, Colorado",39.9403995,-105.05208,0.0,0.0,4.0,0.0
"Castle Rock town, Colorado",142927,8,12415,Castle Rock town,Colorado,"Castle Rock town, Colorado",38.693064,-104.678651,0.0,0.0,0.0,0.0
"Centennial city, Colorado",126224,8,12815,Centennial city,Colorado,"Centennial city, Colorado",39.59572805,-104.835924583367,1.0,0.0,9.0,1.0
"Highlands Ranch CDP, Colorado",152038,8,36410,Highlands Ranch CDP,Colorado,"Highlands Ranch CDP, Colorado",39.541102,-104.969335,0.0,0.0,0.0,0.0
"Norwalk city, Connecticut",107140,9,55990,Norwalk city,Connecticut,"Norwalk city, Connecticut",41.1132796,-73.40668194611808,0.0,0.0,0.0,0.0
"Weston city, Florida",130462,12,76582,Weston city,Florida,"Weston city, Florida",26.0915488,-80.3802093,0.0,0.0,0.0,0.0
"Alpharetta city, Georgia",129946,13,1696,Alpharetta city,Georgia,"Alpharetta city, Georgia",34.07463485,-84.2922705072829,0.0,0.0,3.0,1.0
"Johns Creek city, Georgia",149145,13,42425,Johns Creek city,Georgia,"Johns Creek city, Georgia",34.0605222,-84.1691163,0.0,0.0,0.0,0.0
"Roswell city, Georgia",130088,13,67284,Roswell city,Georgia,"Roswell city, Georgia",34.022464400000004,-84.3601763665493,0.0,0.0,2.0,0.0
"Arlington Heights village, Illinois",113970,17,2154,Arlington Heights village,Illinois,"Arlington Heights village, Illinois",39.09307,-90.397658,0.0,0.0,0.0,0.0
"Naperville city, Illinois",140831,17,51622,Naperville city,Illinois,"Naperville city, Illinois",41.762684,-88.190457,2.0,7.0,12.0,0.0
"Carmel city, Indiana",130332,18,10342,Carmel city,Indiana,"Carmel city, Indiana",32.6922393,35.0482785,0.0,0.0,0.0,0.0
"Fishers city, Indiana",125159,18,23278,Fishers city,Indiana,"Fishers city, Indiana",39.95864445,-86.01712777157263,0.0,0.0,1.0,0.0
"Bethesda CDP, Maryland",158720,24,7125,Bethesda CDP,Maryland,"Bethesda CDP, Maryland",38.989441,-77.118791,0.0,1.0,4.0,0.0
"Columbia CDP, Maryland",120675,24,19125,Columbia CDP,Maryland,"Columbia CDP, Maryland",39.199038,-76.841517,0.0,0.0,4.0,0.0
"Ellicott City CDP, Maryland",165588,24,26000,Ellicott City CDP,Maryland,"Ellicott City CDP, Maryland",39.275859,-76.835556,0.0,0.0,8.0,0.0
"Germantown CDP, Maryland",108426,24,32025,Germantown CDP,Maryland,"Germantown CDP, Maryland",39.17130815,-77.26557848822242,0.0,0.0,1.0,0.0
"Waldorf CDP, Maryland",107462,24,81175,Waldorf CDP,Maryland,"Waldorf CDP, Maryland",38.613537,-76.924754,0.0,0.0,0.0,0.0
"Cambridge city, Massachusetts",109358,25,11000,Cambridge city,Massachusetts,"Cambridge city, Massachusetts",39.8129285,-85.1708971,0.0,0.0,0.0,0.0
