NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"Hoover city, Alabama",103194,1,35896,Hoover city,Alabama,"Hoover city, Alabama",33.3871973,-86.80567999300487,1.0,2.0
"Anchorage municipality, Alaska",100751,2,3000,Anchorage municipality,Alaska,"Anchorage municipality, Alaska",61.2163129,-149.894852,1.0,19.0
"Buckeye city, Arizona",95235,4,7940,Buckeye city,Arizona,"Buckeye city, Arizona",33.3703197,-112.583776,0.0,0.0
"Casas Adobes CDP, Arizona",75650,4,10670,Casas Adobes CDP,Arizona,"Casas Adobes CDP, Arizona",32.340932,-111.010201,0.0,5.0
"Chandler city, Arizona",98664,4,12000,Chandler city,Arizona,"Chandler city, Arizona",33.3062031,-111.8411851,12.0,20.0
"Gilbert town, Arizona",111393,4,27400,Gilbert town,Arizona,"Gilbert town, Arizona",33.3527632,-111.789037,20.0,20.0
"Goodyear city, Arizona",96522,4,28380,Goodyear city,Arizona,"Goodyear city, Arizona",33.4073522,-112.3934809,0.0,2.0
"Maricopa city, Arizona",90985,4,44410,Maricopa city,Arizona,"Maricopa city, Arizona",33.032167,-111.966842,0.0,0.0
"Mesa city, Arizona",79496,4,46000,Mesa city,Arizona,"Mesa city, Arizona",33.4151005,-111.831455,20.0,20.0
"Peoria city, Arizona",86948,4,54050,Peoria city,Arizona,"Peoria city, Arizona",33.5806115,-112.237294,3.0,13.0
"Phoenix city, Arizona",75969,4,55000,Phoenix city,Arizona,"Phoenix city, Arizona",33.4484367,-112.074141,1.0,20.0
"Queen Creek town, Arizona",129605,4,58150,Queen Creek town,Arizona,"Queen Creek town, Arizona",33.2669244,-111.64431265627806,1.0,5.0
"San Tan Valley CDP, Arizona",89081,4,64210,San Tan Valley CDP,Arizona,"San Tan Valley CDP, Arizona",33.177898,-111.543353,0.0,1.0
"Scottsdale city, Arizona",100636,4,65000,Scottsdale city,Arizona,"Scottsdale city, Arizona",33.4942189,-111.926018,0.0,20.0
"Surprise city, Arizona",96912,4,71510,Surprise city,Arizona,"Surprise city, Arizona",33.629247,-112.3681428,0.0,1.0
"Tempe city, Arizona",76007,4,73000,Tempe city,Arizona,"Tempe city, Arizona",33.4255117,-111.9400164,4.0,20.0
"Rogers city, Arkansas",81770,5,60410,Rogers city,Arkansas,"Rogers city, Arkansas",36.3347994,-94.1193531,0.0,8.0
"Alameda city, California",131116,6,562,Alameda city,California,"Alameda city, California",37.7664611,-122.24349585403432,0.0,20.0
"Anaheim city, California",85133,6,2000,Anaheim city,California,"Anaheim city, California",33.803204,-117.88568940769623,1.0,20.0
"Antioch city, California",100178,6,2252,Antioch city,California,"Antioch city, California",38.01631,-121.815234,0.0,1.0
"Berkeley city, California",94846,6,6000,Berkeley city,California,"Berkeley city, California",37.866185900000005,-122.28527282333675,1.0,20.0
"Brentwood city, California",132610,6,8142,Brentwood city,California,"Brentwood city, California",34.0521403,-118.4740699,3.0,20.0
"Buena Park city, California",102840,6,8786,Buena Park city,California,"Buena Park city, California",34.1387383,-118.3886401,0.0,20.0
"Burbank city, California",92581,6,8954,Burbank city,California,"Burbank city, California",34.1867044,-118.2828995,0.0,20.0
"Camarillo city, California",100594,6,10046,Camarillo city,California,"Camarillo city, California",34.2228071,-119.0516609,0.0,0.0
"Carlsbad city, California",146596,6,11194,Carlsbad city,California,"Carlsbad city, California",33.1647597,-117.3403158,0.0,20.0
"Carmichael CDP, California",81823,6,11390,Carmichael CDP,California,"Carmichael CDP, California",38.635793,-121.323379,0.0,7.0
"Carson city, California",98862,6,11530,Carson city,California,"Carson city, California",43.176977,-84.846395,0.0,1.0
"Castro Valley CDP, California",133285,6,11964,Castro Valley CDP,California,"Castro Valley CDP, California",37.70371,-122.074774,0.0,8.0
"Chino city, California",95721,6,13210,Chino city,California,"Chino city, California",34.029319349999994,-117.6863349912724,1.0,9.0
"Chino Hills city, California",105978,6,13214,Chino Hills city,California,"Chino Hills city, California",36.9883505,-121.974559,0.0,20.0
"Chula Vista city, California",101190,6,13392,Chula Vista city,California,"Chula Vista city, California",38.112579,-122.241252,0.0,3.0
"Clovis city, California",100399,6,14218,Clovis city,California,"Clovis city, California",36.82016225,-119.63923814810065,1.0,0.0
"Concord city, California",104523,6,16000,Concord city,California,"Concord city, California",37.979147,-122.007725,2.0,11.0
"Corona city, California",99953,6,16350,Corona city,California,"Corona city, California",33.85796995,-117.55390420153932,0.0,7.0
"Costa Mesa city, California",103891,6,16532,Costa Mesa city,California,"Costa Mesa city, California",37.415706,-118.542393,0.0,0.0
"Daly City city, California",109227,6,17918,Daly City city,California,"Daly City city, California",37.6904826,-122.47267,0.0,20.0
