State,City/Town,Places
 Alabama,Auburn,3076
 Alabama,Birmingham,7000
 Alabama,Dothan,21184
 Alabama,Hoover,35896
 Alabama,Huntsville,37000
 Alabama,Mobile,50000
 Alabama,Montgomery,51000
 Alabama,Tuscaloosa,77256
 Alaska,Anchorage municipality,3000
 Arizona,Avondale,4720
 Arizona,Buckeye,7940
 Arizona,Casas Adobes,10670
 Arizona,Chandler,12000
 Arizona,Flagstaff,23620
 Arizona,Gilbert,27400
 Arizona,Glendale,27820
 Arizona,Goodyear,28380
 Arizona,Maricopa,44410
 Arizona,Mesa,46000
 Arizona,Peoria,54050
 Arizona,Phoenix,55000
 Arizona,Queen Creek,58150
 Arizona,San Tan Valley,64210
 Arizona,Scottsdale,65000
 Arizona,Surprise,71510
 Arizona,Tempe,73000
 Arizona,Tucson,77000
 Arizona,Yuma,85540
 Arkansas,Conway,15190
 Arkansas,Fayetteville,23290
 Arkansas,Fort Smith,24550
 Arkansas,Jonesboro,35710
 Arkansas,Little Rock,41000
 Arkansas,Rogers,60410
 Arkansas,Springdale,66080
 California,Alameda,562
 California,Alhambra,884
 California,Anaheim,2000
 California,Antioch,2252
 California,Apple Valley,2364
 California,Arden-Arcade,2553
 California,Bakersfield,3526
 California,Baldwin Park,3666
 California,Bellflower,4982
 California,Berkeley,6000
 California,Brentwood,8142
 California,Buena Park,8786
 California,Burbank,8954
 California,Camarillo,10046
 California,Carlsbad,11194
 California,Carmichael,11390
 California,Carson,11530
 California,Castro Valley,11964
 California,Chico,13014
 California,Chino,13210
 California,Chino Hills,13214
 California,Chula Vista,13392
 California,Citrus Heights,13588
 California,Clovis,14218
 California,Compton,15044
 California,Concord,16000
 California,Corona,16350
 California,Costa Mesa,16532
 California,Daly,17918
 California,Davis,18100
 California,Downey,19766
 California,Dublin,20018
 California,East Los Angeles,20802
 California,Eastvale,21230
 California,El Cajon,21712
 California,Elk Grove,22020
 California,El Monte,22230
 California,Escondido,22804
 California,Fairfield,23182
 California,Folsom,24638
 California,Fontana,24680
 California,Fremont,26000
 California,Fresno,27000
 California,Fullerton,28000
 California,Garden Grove,29000
 California,Glendale,30000
 California,Hawthorne,32548
 California,Hayward,33000
 California,Hemet,33182
 California,Hesperia,33434
 California,Huntington Beach,36000
 California,Indio,36448
 California,Inglewood,36546
 California,Irvine,36770
 California,Jurupa Valley,37692
 California,Lake Elsinore,39486
 California,Lake Forest,39496
 California,Lakewood,39892
 California,Lancaster,40130
 California,Livermore,41992
 California,Lodi,42202
 California,Long Beach,43000
 California,Los Angeles,44000
 California,Lynwood,44574
 California,Madera,45022
 California,Manteca,45484
 California,Menifee,46842
 California,Merced,46898
 California,Milpitas,47766
 California,Mission Viejo,48256
 California,Modesto,48354
 California,Moreno Valley,49270
 California,Mountain View,49670
 California,Murrieta,50076
 California,Napa,50258
 California,Newport Beach,51182
 California,Norwalk,52526
 California,Oakland,53000
 California,Oceanside,53322
 California,Ontario,53896
 California,Orange,53980
 California,Oxnard,54652
 California,Palmdale,55156
 California,Palo Alto,55282
 California,Pasadena,56000
 California,Perris,56700
 California,Pittsburg,57456
 California,Pleasanton,57792
 California,Pomona,58072
 California,Rancho Cordova,59444
 California,Rancho Cucamonga,59451
 California,Redding,59920
 California,Redlands,59962
 California,Redondo Beach,60018
 California,Redwood,60102
 California,Rialto,60466
 California,Richmond,60620
 California,Riverside,62000
 California,Rocklin,62364
 California,Roseville,62938
 California,Sacramento,64000
 California,Salinas,64224
 California,San Bernardino,65000
 California,San Buenaventura (Ventura),65042
 California,San Diego,66000
 California,San Francisco,67000
 California,San Jose,68000
 California,San Leandro,68084
 California,San Marcos,68196
 California,San Mateo,68252
 California,San Ramon,68378
 California,Santa Ana,69000
 California,Santa Barbara,69070
 California,Santa Clara,69084
 California,Santa Clarita,69088
 California,Santa Maria,69196
 California,Santa Monica,70000
 California,Santa Rosa,70098
 California,Simi Valley,72016
 California,South Gate,73080
 California,Stockton,75000
 California,Sunnyvale,77000
 California,Temecula,78120
 California,Thousand Oaks,78582
 California,Torrance,80000
 California,Tracy,80238
 California,Tulare,80644
 California,Turlock,80812
 California,Tustin,80854
 California,Union,81204
 California,Upland,81344
 California,Vacaville,81554
 California,Vallejo,81666
 California,Victorville,82590
 California,Visalia,82954
 California,Vista,82996
 California,Walnut Creek,83346
 California,West Covina,84200
 California,Westminster,84550
 California,Whittier,85292
 California,Yorba Linda,86832
 California,Yuba,86972
 Colorado,Arvada,3455
 Colorado,Aurora,4000
 Colorado,Boulder,7850
 Colorado,Broomfield,9280
 Colorado,Castle Rock,12415
 Colorado,Centennial,12815
 Colorado,Colorado Springs,16000
 Colorado,Commerce,16495
 Colorado,Denver,20000
 Colorado,Fort Collins,27425
 Colorado,Grand Junction,31660
 Colorado,Greeley,32155
 Colorado,Highlands Ranch,36410
 Colorado,Lakewood,43000
 Colorado,Longmont,45970
